surface types
sea water
glacier
lake
tundra
long grass
crops
urban
mixed wood forests
evergreen needle-leaf trees
evergreen broadleaf trees
deciduous needle-leaf trees
deciduous broadleaf trees
tropical trees
drought deciduous trees
shrubs
short grass and forbs
urban
swamp
desert
